iter	Passed	Remaining
0	16	16919
1	26	13443
2	32	10841
3	37	9345
4	42	8532
5	48	7978
6	53	7525
7	58	7206
8	63	6978
9	69	6879
10	74	6691
11	78	6462
12	83	6375
13	89	6304
14	94	6173
15	99	6093
16	103	6003
17	108	5937
18	112	5809
19	115	5663
20	118	5541
21	121	5386
22	124	5285
23	128	5212
24	132	5159
25	136	5098
26	140	5052
27	144	5022
28	148	4981
29	152	4938
30	157	4910
31	161	4875
32	165	4843
33	169	4814
34	173	4793
35	177	4765
36	181	4735
37	186	4733
38	190	4696
39	194	4677
40	199	4666
41	204	4657
42	208	4641
43	212	4623
44	217	4608
45	221	4600
46	226	4586
47	230	4574
48	235	4570
49	239	4552
50	243	4536
51	248	4523
52	253	4523
53	257	4507
54	261	4494
55	266	4486
56	270	4481
57	275	4468
58	279	4457
59	284	4449
60	288	4440
61	292	4431
62	297	4420
63	301	4413
64	306	4402
65	310	4389
66	314	4384
67	319	4379
68	323	4371
69	328	4361
70	333	4360
71	338	4356
72	342	4352
73	347	4345
74	351	4337
75	356	4337
76	361	4330
77	366	4326
78	370	4323
79	375	4314
80	378	4294
81	382	4284
82	387	4280
83	392	4275
84	396	4271
85	401	4269
86	405	4260
87	410	4252
88	413	4237
89	418	4230
90	422	4223
91	427	4218
92	432	4214
93	436	4210
94	441	4203
95	445	4199
96	450	4197
97	455	4190
98	459	4183
99	464	4181
100	469	4176
101	473	4170
102	477	4158
103	481	4151
104	486	4144
105	490	4139
106	496	4141
107	501	4138
108	505	4135
109	511	4138
110	516	4134
111	520	4130
112	526	4129
113	530	4123
114	535	4118
115	539	4113
116	544	4111
117	549	4105
118	553	4100
119	558	4099
120	563	4093
121	568	4089
122	573	4086
123	577	4080
124	582	4075
125	586	4070
126	591	4068
127	596	4063
128	601	4060
129	606	4057
130	611	4053
131	615	4048
132	620	4045
133	625	4041
134	629	4036
135	635	4035
136	640	4033
137	645	4030
138	651	4033
139	656	4034
140	661	4032
141	667	4035
142	672	4032
143	677	4030
144	684	4033
145	689	4032
146	694	4030
147	699	4025
148	703	4020
149	708	4017
150	713	4011
151	718	4008
152	724	4008
153	728	4002
154	732	3991
155	736	3986
156	741	3982
157	746	3976
158	750	3972
159	755	3966
160	760	3961
161	764	3955
162	769	3953
163	774	3948
164	779	3943
165	784	3940
166	789	3935
167	793	3930
168	798	3927
169	803	3922
170	807	3916
171	812	3911
172	817	3908
173	822	3903
174	827	3899
175	832	3896
176	837	3892
177	841	3887
178	847	3885
179	852	3882
180	857	3880
181	862	3876
182	867	3873
183	872	3870
184	877	3865
185	882	3861
186	887	3857
187	892	3852
188	896	3847
189	901	3843
190	906	3840
191	911	3837
192	917	3835
193	920	3824
194	925	3821
195	930	3817
196	935	3813
197	939	3804
198	943	3799
199	949	3796
200	953	3792
201	958	3786
202	963	3784
203	968	3780
204	973	3775
205	975	3760
206	980	3755
207	985	3750
208	989	3746
209	994	3741
210	999	3736
211	1004	3732
212	1009	3728
213	1013	3724
214	1018	3719
215	1023	3715
216	1028	3712
217	1033	3709
218	1039	3707
219	1044	3703
220	1049	3699
221	1054	3696
222	1059	3693
223	1064	3688
224	1069	3683
225	1073	3677
226	1078	3673
227	1083	3667
228	1088	3664
229	1093	3660
230	1098	3655
231	1102	3648
232	1106	3644
233	1111	3638
234	1116	3635
235	1121	3629
236	1125	3624
237	1130	3619
238	1135	3616
239	1140	3612
240	1146	3610
241	1151	3606
242	1156	3602
243	1161	3598
244	1166	3593
245	1171	3589
246	1174	3581
247	1179	3575
248	1183	3570
249	1188	3566
250	1193	3562
251	1198	3557
252	1202	3549
253	1207	3545
254	1211	3539
255	1216	3535
256	1221	3531
257	1226	3528
258	1231	3523
259	1236	3518
260	1241	3515
261	1246	3511
262	1251	3507
263	1257	3505
264	1262	3501
265	1267	3497
266	1273	3495
267	1278	3492
268	1283	3489
269	1290	3488
270	1296	3487
271	1302	3486
272	1308	3483
273	1314	3481
274	1319	3479
275	1325	3476
276	1330	3473
277	1336	3470
278	1341	3467
279	1347	3464
280	1352	3461
281	1357	3457
282	1363	3454
283	1369	3452
284	1375	3449
285	1381	3448
286	1387	3447
287	1393	3446
288	1399	3442
289	1404	3438
290	1410	3435
291	1416	3434
292	1422	3432
293	1429	3431
294	1435	3430
295	1441	3427
296	1447	3425
297	1453	3423
298	1459	3421
299	1465	3419
300	1471	3417
301	1477	3414
302	1484	3414
303	1490	3412
304	1497	3411
305	1503	3409
306	1508	3405
307	1515	3405
308	1521	3403
309	1528	3402
310	1535	3401
311	1541	3399
312	1548	3398
313	1554	3395
314	1560	3392
315	1566	3391
316	1573	3389
317	1579	3387
318	1585	3385
319	1592	3383
320	1598	3381
321	1604	3378
322	1610	3376
323	1617	3373
324	1624	3373
325	1630	3371
326	1636	3368
327	1643	3367
328	1649	3365
329	1656	3362
330	1662	3359
331	1668	3357
332	1675	3355
333	1681	3352
334	1687	3349
335	1701	3362
336	1708	3361
337	1715	3359
338	1727	3368
339	1734	3366
340	1741	3365
341	1748	3363
342	1752	3357
343	1759	3356
344	1766	3354
345	1773	3352
346	1779	3348
347	1785	3345
348	1790	3340
349	1795	3335
350	1800	3329
351	1805	3324
352	1810	3318
353	1816	3314
354	1821	3309
355	1826	3304
356	1831	3298
357	1836	3292
358	1840	3286
359	1845	3281
360	1850	3275
361	1855	3269
362	1860	3265
363	1866	3260
364	1872	3256
365	1878	3253
366	1883	3249
367	1889	3245
368	1894	3240
369	1900	3236
370	1906	3231
371	1911	3227
372	1918	3224
373	1923	3220
374	1929	3215
375	1935	3211
376	1940	3207
377	1947	3203
378	1952	3199
379	1957	3194
380	1962	3188
381	1968	3184
382	1972	3178
383	1978	3173
384	1983	3167
385	1988	3162
386	1993	3157
387	1998	3151
388	2002	3145
389	2007	3140
390	2013	3136
391	2018	3131
392	2023	3125
393	2028	3120
394	2033	3114
395	2038	3108
396	2042	3102
397	2047	3097
398	2051	3090
399	2056	3084
400	2060	3078
401	2065	3072
402	2070	3066
403	2074	3061
404	2079	3055
405	2084	3049
406	2089	3043
407	2093	3038
408	2098	3032
409	2103	3026
410	2108	3021
411	2113	3016
412	2118	3011
413	2123	3006
414	2128	3000
415	2133	2994
416	2138	2989
417	2143	2984
418	2148	2978
419	2152	2972
420	2157	2967
421	2162	2961
422	2164	2952
423	2168	2945
424	2173	2940
425	2177	2934
426	2182	2928
427	2186	2922
428	2192	2917
429	2196	2911
430	2201	2905
431	2206	2900
432	2210	2894
433	2215	2889
434	2220	2884
435	2225	2879
436	2230	2873
437	2235	2868
438	2240	2863
439	2245	2857
440	2250	2852
441	2255	2847
442	2260	2842
443	2266	2838
444	2270	2832
445	2275	2826
446	2278	2818
447	2282	2812
448	2287	2806
449	2291	2801
450	2296	2795
451	2301	2790
452	2306	2784
453	2310	2779
454	2315	2773
455	2319	2767
456	2324	2762
457	2329	2756
458	2334	2751
459	2338	2745
460	2344	2740
461	2349	2735
462	2353	2730
463	2358	2724
464	2363	2719
465	2368	2714
466	2372	2707
467	2376	2701
468	2381	2696
469	2386	2691
470	2391	2685
471	2397	2681
472	2403	2677
473	2407	2671
474	2411	2665
475	2415	2659
476	2420	2654
477	2425	2648
478	2430	2643
479	2435	2637
480	2439	2632
481	2444	2626
482	2449	2621
483	2454	2616
484	2458	2610
485	2463	2605
486	2468	2599
487	2472	2594
488	2477	2588
489	2482	2584
490	2487	2578
491	2493	2574
492	2498	2569
493	2503	2564
494	2508	2558
495	2511	2552
496	2516	2546
497	2520	2541
498	2525	2535
499	2530	2530
500	2534	2524
501	2540	2519
502	2543	2513
503	2548	2508
504	2553	2502
505	2557	2497
506	2562	2492
507	2567	2486
508	2571	2480
509	2575	2474
510	2580	2469
511	2584	2463
512	2588	2456
513	2592	2451
514	2597	2445
515	2601	2440
516	2606	2435
517	2611	2429
518	2616	2424
519	2620	2419
520	2625	2413
521	2628	2406
