iter	Passed	Remaining
0	6	6510
1	14	7167
2	21	7174
3	29	7380
4	37	7457
5	43	7245
6	50	7154
7	57	7076
8	63	6976
9	70	6940
10	77	6931
11	82	6832
12	89	6768
13	95	6739
14	103	6764
15	109	6736
16	116	6721
17	122	6663
18	129	6661
19	135	6640
20	142	6627
21	148	6621
22	156	6630
23	162	6589
24	168	6557
25	173	6511
26	181	6530
27	187	6524
28	195	6531
29	201	6506
30	207	6476
31	214	6489
32	221	6495
33	228	6489
34	234	6464
35	240	6452
36	247	6444
37	254	6445
38	262	6457
39	268	6452
40	275	6446
41	282	6448
42	289	6439
43	296	6436
44	302	6413
45	308	6388
46	315	6387
47	321	6380
48	328	6370
49	334	6348
50	339	6323
51	345	6307
52	351	6282
53	357	6265
54	363	6247
55	370	6243
56	377	6239
57	383	6225
58	389	6210
59	395	6192
60	401	6174
61	406	6143
62	412	6138
63	419	6130
64	425	6115
65	431	6102
66	438	6099
67	444	6095
68	450	6081
69	456	6066
70	462	6057
71	469	6051
72	476	6047
73	482	6041
74	489	6031
75	494	6013
76	500	5998
77	508	6013
78	514	6001
79	520	5986
80	527	5982
81	533	5968
82	538	5954
83	546	5956
84	553	5959
85	560	5954
86	568	5966
87	576	5975
88	587	6014
89	593	6001
90	597	5963
91	604	5963
92	611	5963
93	618	5962
94	625	5959
95	633	5961
96	641	5970
97	650	5984
98	657	5986
99	665	5992
100	673	5997
101	681	6002
102	687	5987
103	694	5982
104	701	5981
105	708	5973
106	715	5975
107	722	5966
108	730	5970
109	736	5960
110	742	5948
111	749	5945
112	757	5942
113	763	5936
114	770	5928
115	777	5923
116	784	5924
117	793	5930
118	799	5920
119	806	5912
120	812	5901
121	818	5891
122	826	5890
123	833	5889
124	841	5890
125	848	5887
126	856	5886
127	863	5882
128	871	5885
129	879	5888
130	886	5880
131	893	5875
132	900	5867
133	907	5864
134	914	5859
135	922	5857
136	929	5855
137	937	5854
138	944	5848
139	950	5839
140	956	5827
141	961	5811
142	967	5801
143	974	5791
144	980	5780
145	986	5771
146	992	5761
147	999	5755
148	1006	5750
149	1012	5739
150	1018	5726
151	1025	5719
152	1032	5717
153	1039	5708
154	1045	5700
155	1053	5698
156	1059	5687
157	1066	5681
158	1072	5673
159	1078	5663
160	1085	5657
161	1091	5643
162	1097	5635
163	1103	5627
164	1110	5618
165	1116	5610
166	1122	5600
167	1127	5585
168	1134	5576
169	1140	5569
170	1147	5561
171	1154	5555
172	1160	5545
173	1166	5539
174	1174	5535
175	1181	5532
176	1189	5531
177	1196	5524
178	1203	5517
179	1210	5512
180	1217	5507
181	1225	5505
182	1233	5507
183	1241	5507
184	1250	5509
185	1258	5505
186	1266	5506
187	1274	5503
188	1281	5497
189	1288	5494
190	1296	5491
191	1304	5490
192	1311	5485
193	1319	5483
194	1327	5478
195	1334	5475
196	1344	5481
197	1352	5479
198	1361	5480
199	1375	5501
200	1383	5497
201	1393	5506
202	1408	5531
203	1421	5548
204	1434	5564
205	1445	5570
206	1459	5592
207	1469	5596
208	1478	5597
209	1485	5588
210	1492	5582
211	1499	5574
212	1506	5566
213	1512	5555
214	1518	5542
215	1524	5533
216	1530	5522
217	1537	5515
218	1546	5513
219	1554	5510
220	1561	5502
221	1567	5495
222	1576	5491
223	1583	5485
224	1589	5475
225	1596	5468
226	1602	5457
227	1609	5448
228	1615	5440
229	1622	5432
230	1630	5428
231	1639	5426
232	1646	5419
233	1653	5413
234	1659	5402
235	1667	5396
236	1675	5393
237	1683	5388
238	1690	5382
239	1697	5376
240	1704	5369
241	1712	5364
242	1720	5360
243	1729	5357
244	1736	5351
245	1743	5343
246	1751	5339
247	1759	5333
248	1766	5328
249	1774	5322
250	1782	5318
251	1790	5313
