Name,SMILES,CAS,Type,MolWt,ExactMolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,MolVolume
Ethanol,CCO,64-17-5,biofuel,46.069,46.041864812,-0.0014000000000000123,1.0,1.0,0.0,20.23,12.759800000000002
2-propanol,CC(C)O,67-63-0,biofuel,60.096000000000004,60.057514876,0.38710000000000006,1.0,1.0,0.0,20.23,17.354800000000004
1-Propanol,CCCO,71-23-8,biofuel,60.096,60.057514876,0.3887,1.0,1.0,1.0,20.23,17.376800000000003
2-butanol,CCC(C)O,78-92-2,biofuel,74.12299999999999,74.07316494,0.7771999999999999,1.0,1.0,1.0,20.23,21.971799999999995
1-butanol,CCCCO,71-36-3,biofuel,74.12299999999999,74.07316494,0.7787999999999999,1.0,1.0,2.0,20.23,21.993799999999997
Propane,CCC,74-98-6,biofuel,44.096999999999994,44.062600255999996,1.4163,0.0,0.0,0.0,0.0,15.965000000000003
Octane,CCCCCCCC,111-65-9,biofuel,114.232,114.14085057599999,3.3668000000000022,0.0,0.0,5.0,0.0,39.05
"1,2-Propanediol",CC(CO)O,57-55-6,biofuel,76.095,76.052429496,-0.6405,2.0,2.0,1.0,40.46,18.766600000000004
2-Methylpropane,CC(C)C,75-28-5,biofuel,58.123999999999995,58.078250319999995,1.6622999999999999,0.0,0.0,0.0,0.0,20.511999999999997
1-Butene,CCC=C,106-98-9,biofuel,56.108,56.062600255999996,1.5824,0.0,0.0,1.0,0.0,20.487999999999996
2-Butene,CC=CC,107-01-7,biofuel,56.108000000000004,56.062600255999996,1.5824,0.0,0.0,0.0,0.0,20.487999999999996
1-Pentene,C=CCCC,109-67-1,biofuel,70.13499999999999,70.07825032,1.9725,0.0,0.0,2.0,0.0,25.10499999999999
1-Hexene,C=CCCCC,592-41-6,biofuel,84.16199999999999,84.093900384,2.3626000000000005,0.0,0.0,3.0,0.0,29.721999999999984
cis-2-hexene ,CCC/C=C\C,7688-21-3,biofuel,84.16199999999999,84.093900384,2.3626000000000005,0.0,0.0,2.0,0.0,29.721999999999984
2-Methyl-1-butene,CCC(=C)C,563-46-2,biofuel,70.13499999999999,70.07825032,1.9725,0.0,0.0,1.0,0.0,25.10499999999999
3-Methyl-1-butene,CC(C)C=C,563-45-1,biofuel,70.135,70.07825032,1.8284,0.0,0.0,1.0,0.0,25.03499999999999
2-Methyl-2-butene,CC=C(C)C,513-35-9,biofuel,70.13499999999999,70.07825032,1.9725,0.0,0.0,0.0,0.0,25.10499999999999
2-Methylpropene,CC(=C)C,115-11-7,biofuel,56.108000000000004,56.062600255999996,1.5824,0.0,0.0,0.0,0.0,20.487999999999996
1-Octene,C=CCCCCCC,111-66-0,biofuel,112.216,112.12520051199999,3.142800000000002,0.0,0.0,5.0,0.0,38.956
2-Octene,CC=CCCCCCC,111-67-1,biofuel,126.24300000000001,126.14085057599999,3.5329000000000024,0.0,0.0,5.0,0.0,43.573000000000015
1-Heptene,C=CCCCCC,592-76-7,biofuel,98.189,98.109550448,2.752700000000001,0.0,0.0,4.0,0.0,34.33899999999999
2-Heptene,CC=CCCCC,6443-92-1,biofuel,98.18900000000001,98.109550448,2.752700000000001,0.0,0.0,3.0,0.0,34.33899999999999
3-Heptene,CCC=CCCC,592-78-9,biofuel,98.18900000000001,98.109550448,2.752700000000001,0.0,0.0,3.0,0.0,34.33899999999999
2-Pentanone,CCC(C)C=O,107-87-9,biofuel,86.13399999999999,86.07316494,1.2314,0.0,1.0,2.0,17.07,25.518999999999988
2-Butanone,CC(C)C=O,78-93-3,biofuel,72.107,72.057514876,0.8412999999999999,0.0,1.0,1.0,17.07,20.901999999999994
2-Methyl-1-propanol,CC(C)CO,78-83-1,biofuel,74.12299999999999,74.07316494,0.6347,1.0,1.0,1.0,20.23,21.923799999999996
2-Methylfuran,CC1=CC=CO1,534-22-5,biofuel,82.102,82.041864812,1.58802,0.0,1.0,0.0,13.14,23.444999999999993
3-Pentanone,CCC(=O)CC,96-22-0,biofuel,86.134,86.07316494,1.3755,0.0,1.0,2.0,17.07,25.588999999999988
Isopropyl acetate,CC(C)OC(=O)C,108-21-4,biofuel,102.133,102.06807956,0.9579,0.0,2.0,1.0,26.3,26.901999999999987
Methyl isobutyrate,CC(C)C(=O)OC,547-63-7,biofuel,102.13299999999998,102.06807956,0.8154,0.0,2.0,1.0,26.3,26.853999999999985
4-Methyl-2-pentanol,CC(C)CC(C)O,108-11-2,biofuel,102.17699999999998,102.104465068,1.4133,1.0,1.0,2.0,20.23,31.135799999999982
"1,1-Dimethylcyclohexane",CC1(CCCCC1)C,590-66-9,biofuel,112.21600000000001,112.12520051199999,2.976700000000002,0.0,0.0,0.0,0.0,36.86599999999999
"1,1-Dimethylcyclopentane",CC1(CCCC1)C,1638-26-2,biofuel,98.18900000000001,98.109550448,2.5866000000000007,0.0,0.0,0.0,0.0,32.24899999999998
Cyclopentane,C1CCCC1,287-92-3,biofuel,70.135,70.07825032,1.9505000000000001,0.0,0.0,0.0,0.0,23.084999999999994
2-Methyl-1-Pentene,CCCC(=C)C,763-29-1,biofuel,84.16199999999999,84.093900384,2.3626000000000005,0.0,0.0,2.0,0.0,29.721999999999984
cyclopentanone,C1CCC(=O)C1,120-92-3,biofuel,84.118,84.057514876,1.1295,0.0,1.0,0.0,17.07,23.47499999999999
2-Methyl-2-Pentene,CCC=C(C)C,625-27-4,biofuel,84.16199999999999,84.093900384,2.3626000000000005,0.0,0.0,1.0,0.0,29.721999999999984
3-methyl-2-pentene,CCC(=CC)C,922-61-2,biofuel,84.16199999999999,84.093900384,2.3626000000000005,0.0,0.0,1.0,0.0,29.721999999999984
2-Methyl-3-ethylpentane,CCC(CC)C(C)C,609-26-7,biofuel,114.23199999999999,114.14085057599999,3.0786000000000016,0.0,0.0,3.0,0.0,38.91
2-Methyl-3-Heptene,CCCC=CC(C)C,692-96-6,biofuel,112.21599999999998,112.12520051199999,2.9987000000000013,0.0,0.0,3.0,0.0,38.886
2-Methyl-3-Hexene,CCC=CC(C)C,692-24-0,biofuel,98.189,98.109550448,2.608600000000001,0.0,0.0,2.0,0.0,34.26899999999999
2-Methylnonane,CCCCCCC(C)CC,871-83-0,biofuel,142.286,142.172150704,4.002900000000003,0.0,0.0,6.0,0.0,48.21400000000003
3-Methylnonane,CCCCCCC(C)CCC,5911-04-6,biofuel,156.313,156.187800768,4.393000000000004,0.0,0.0,7.0,0.0,52.83100000000004
4-Methylnonane,CCCCC(C)CCCC,17301-94-9,biofuel,142.286,142.172150704,4.002900000000003,0.0,0.0,6.0,0.0,48.21400000000003
