Name,SMILES,Type,CAS,MeltingPoint,BoilingPoint,LHV,FlashPoint,Density,OC,MolWt,LFL,UFL
Ethanol,CCO,biofuel,CCO,46.069,46.041864812,46.069,46.069,46.069,46.069,46.069,46.069,46.069
2-propanol,CC(C)O,biofuel,CC(C)O,60.096000000000004,60.057514876,60.096000000000004,60.096000000000004,60.096000000000004,60.096000000000004,60.096000000000004,60.096000000000004,60.096000000000004
1-Propanol,CCCO,biofuel,CCCO,60.096,60.057514876,60.096,60.096,60.096,60.096,60.096,60.096,60.096
2-butanol,CCC(C)O,biofuel,CCC(C)O,74.12299999999999,74.07316494,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999
1-butanol,CCCCO,biofuel,CCCCO,74.12299999999999,74.07316494,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999
Propane,CCC,biofuel,CCC,44.096999999999994,44.062600255999996,44.096999999999994,44.096999999999994,44.096999999999994,44.096999999999994,44.096999999999994,44.096999999999994,44.096999999999994
Octane,CCCCCCCC,biofuel,CCCCCCCC,114.232,114.14085057599999,114.232,114.232,114.232,114.232,114.232,114.232,114.232
"1,2-Propanediol",OCCO,biofuel,OCCO,62.068000000000005,62.036779432,62.068000000000005,62.068000000000005,62.068000000000005,62.068000000000005,62.068000000000005,62.068000000000005,62.068000000000005
2-Methylpropane,CC(C)C,biofuel,CC(C)C,58.123999999999995,58.078250319999995,58.123999999999995,58.123999999999995,58.123999999999995,58.123999999999995,58.123999999999995,58.123999999999995,58.123999999999995
1-Butene,C=CCC,biofuel,C=CCC,56.10799999999999,56.062600255999996,56.10799999999999,56.10799999999999,56.10799999999999,56.10799999999999,56.10799999999999,56.10799999999999,56.10799999999999
2-Butene,CC=CC,biofuel,CC=CC,56.108000000000004,56.062600255999996,56.108000000000004,56.108000000000004,56.108000000000004,56.108000000000004,56.108000000000004,56.108000000000004,56.108000000000004
1-Pentene,C=CCCC,biofuel,C=CCCC,70.13499999999999,70.07825032,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999
