Name,SMILES,CAS,Type
Ethanol,CCO,64-17-5,biofuel
2-propanol,CC(C)O,67-63-0,biofuel
1-Propanol,CCCO,71-23-8,biofuel
2-butanol,CCC(C)O,78-92-2,biofuel
1-butanol,CCCCO,71-36-3,biofuel
Propane,CCC,74-98-6,biofuel
Octane,CCCCCCCC,111-65-9,biofuel
"1,2-Propanediol",CC(CO)O,57-55-6,biofuel
2-Methylpropane,CC(C)C,75-28-5,biofuel
1-Butene,CCC=C,106-98-9,biofuel
2-Butene,CC=CC,107-01-7,biofuel
1-Pentene,C=CCCC,109-67-1,biofuel
1-Hexene,C=CCCCC,592-41-6,biofuel
cis-2-hexene ,CCC/C=C\C,7688-21-3,biofuel
2-Methyl-1-butene,CCC(=C)C,563-46-2,biofuel
3-Methyl-1-butene,CC(C)C=C,563-45-1,biofuel
2-Methyl-2-butene,CC=C(C)C,513-35-9,biofuel
2-Methylpropene,CC(=C)C,115-11-7,biofuel
1-Octene,C=CCCCCCC,111-66-0,biofuel
2-Octene,CC=CCCCCCC,111-67-1,biofuel
1-Heptene,C=CCCCCC,592-76-7,biofuel
2-Heptene,CC=CCCCC,6443-92-1,biofuel
3-Heptene,CCC=CCCC,592-78-9,biofuel
2-Pentanone,CCC(C)C=O,107-87-9,biofuel
2-Butanone,CC(C)C=O,78-93-3,biofuel
2-Methyl-1-propanol,CC(C)CO,78-83-1,biofuel
2-Methylfuran,CC1=CC=CO1,534-22-5,biofuel
3-Pentanone,CCC(=O)CC,96-22-0,biofuel
Isopropyl acetate,CC(C)OC(=O)C,108-21-4,biofuel
Methyl isobutyrate,CC(C)C(=O)OC,547-63-7,biofuel
4-Methyl-2-pentanol,CC(C)CC(C)O,108-11-2,biofuel
"1,1-Dimethylcyclohexane",CC1(CCCCC1)C,590-66-9,biofuel
"1,1-Dimethylcyclopentane",CC1(CCCC1)C,1638-26-2,biofuel
Cyclopentane,C1CCCC1,287-92-3,biofuel
2-Methyl-1-Pentene,CCCC(=C)C,763-29-1,biofuel
cyclopentanone,C1CCC(=O)C1,120-92-3,biofuel
2-Methyl-2-Pentene,CCC=C(C)C,625-27-4,biofuel
3-methyl-2-pentene,CCC(=CC)C,922-61-2,biofuel
2-Methyl-3-ethylpentane,CCC(CC)C(C)C,609-26-7,biofuel
2-Methyl-3-Heptene,CCCC=CC(C)C,692-96-6,biofuel
2-Methyl-3-Hexene,CCC=CC(C)C,692-24-0,biofuel
2-Methylnonane,CCCCCCC(C)CC,871-83-0,biofuel
3-Methylnonane,CCCCCCC(C)CCC,5911-04-6,biofuel
4-Methylnonane,CCCCC(C)CCCC,17301-94-9,biofuel
5-Methylnonane,CCCCC(C)CCCC,15869-85-9,biofuel
"2,2,3,3-tetramethylpentane",CCC(C)(C)C(C)(C)C,7154-79-2,biofuel
"2,2-dimethyl-3-ethylpentane",CCC(CC)C(C)(C)C,16747-32-3,biofuel
"2,2-dimethylbutane",CCC(C)(C)C,75-83-2,biofuel
"2,4-Dimethyl-3-ethylpentane",CCC(C(C)C)C(C)C,1068-87-7,biofuel
