Name,SMILES,CAS Number,Type,MolWt,ExactMolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,MolVolume
Ethanol,CCO,64-17-5,biofuel,46.069,46.04186481,-0.0014,1,1,0,20.23,12.7598
2-propanol,CC(C)O,67-63-0,biofuel,60.096,60.05751488,0.3871,1,1,0,20.23,17.3548
1-Propanol,CCCO,71-23-8,biofuel,60.096,60.05751488,0.3887,1,1,1,20.23,17.3768
2-butanol,CCC(C)O,78-92-2,biofuel,74.123,74.07316494,0.7772,1,1,1,20.23,21.9718
1-butanol,CCCCO,71-36-3,biofuel,74.123,74.07316494,0.7788,1,1,2,20.23,21.9938
Propane,CCC,74-98-6,biofuel,44.097,44.06260026,1.4163,0,0,0,0,15.965
Octane,CCCCCCCC,111-65-9,biofuel,114.232,114.1408506,3.3668,0,0,5,0,39.05
"1,2-Propanediol",CC(CO)O,57-55-6,biofuel,76.095,76.0524295,-0.6405,2,2,1,40.46,18.7666
2-Methylpropane,CC(C)C,75-28-5,biofuel,58.124,58.07825032,1.6623,0,0,0,0,20.512
1-Butene,CCC=C,106-98-9,biofuel,56.108,56.06260026,1.5824,0,0,1,0,20.488
2-Butene,CC=CC,107-01-7,biofuel,56.108,56.06260026,1.5824,0,0,0,0,20.488
1-Pentene,C=CCCC,109-67-1,biofuel,70.135,70.07825032,1.9725,0,0,2,0,25.105
1-Hexene,C=CCCCC,592-41-6,biofuel,84.162,84.09390038,2.3626,0,0,3,0,29.722
cis-2-hexene,CCC/C=C\C,7688-21-3,biofuel,84.162,84.09390038,2.3626,0,0,2,0,29.722
2-Methyl-1-butene,CCC(=C)C,563-46-2,biofuel,70.135,70.07825032,1.9725,0,0,1,0,25.105
3-Methyl-1-butene,CC(C)C=C,563-45-1,biofuel,70.135,70.07825032,1.8284,0,0,1,0,25.035
2-Methyl-2-butene,CC=C(C)C,513-35-9,biofuel,70.135,70.07825032,1.9725,0,0,0,0,25.105
2-Methylpropene,CC(=C)C,115-11-7,biofuel,56.108,56.06260026,1.5824,0,0,0,0,20.488
1-Octene,C=CCCCCCC,111-66-0,biofuel,112.216,112.1252005,3.1428,0,0,5,0,38.956
2-Octene,CC=CCCCCCC,111-67-1,biofuel,126.243,126.1408506,3.5329,0,0,5,0,43.573
1-Heptene,C=CCCCCC,592-76-7,biofuel,98.189,98.10955045,2.7527,0,0,4,0,34.339
2-Heptene,CC=CCCCC,6443-92-1,biofuel,98.189,98.10955045,2.7527,0,0,3,0,34.339
3-Heptene,CCC=CCCC,592-78-9,biofuel,98.189,98.10955045,2.7527,0,0,3,0,34.339
2-Pentanone,CCC(C)C=O,107-87-9,biofuel,86.134,86.07316494,1.2314,0,1,2,17.07,25.519
2-Butanone,CC(C)C=O,78-93-3,biofuel,72.107,72.05751488,0.8413,0,1,1,17.07,20.902
2-Methyl-1-propanol,CC(C)CO,78-83-1,biofuel,74.123,74.07316494,0.6347,1,1,1,20.23,21.9238
2-Methylfuran,CC1=CC=CO1,534-22-5,biofuel,82.102,82.04186481,1.58802,0,1,0,13.14,23.445
3-Pentanone,CCC(=O)CC,96-22-0,biofuel,86.134,86.07316494,1.3755,0,1,2,17.07,25.589
Isopropyl acetate,CC(C)OC(=O)C,108-21-4,biofuel,102.133,102.0680796,0.9579,0,2,1,26.3,26.902
Methyl isobutyrate,CC(C)C(=O)OC,547-63-7,biofuel,102.133,102.0680796,0.8154,0,2,1,26.3,26.854
4-Methyl-2-pentanol,CC(C)CC(C)O,108-11-2,biofuel,102.177,102.1044651,1.4133,1,1,2,20.23,31.1358
"1,1-Dimethylcyclohexane",CC1(CCCCC1)C,590-66-9,biofuel,112.216,112.1252005,2.9767,0,0,0,0,36.866
"1,1-Dimethylcyclopentane",CC1(CCCC1)C,1638-26-2,biofuel,98.189,98.10955045,2.5866,0,0,0,0,32.249
Cyclopentane,C1CCCC1,287-92-3,biofuel,70.135,70.07825032,1.9505,0,0,0,0,23.085
2-Methyl-1-Pentene,CCCC(=C)C,763-29-1,biofuel,84.162,84.09390038,2.3626,0,0,2,0,29.722
cyclopentanone,C1CCC(=O)C1,120-92-3,biofuel,84.118,84.05751488,1.1295,0,1,0,17.07,23.475
2-Methyl-2-Pentene,CCC=C(C)C,625-27-4,biofuel,84.162,84.09390038,2.3626,0,0,1,0,29.722
3-methyl-2-pentene,CCC(=CC)C,922-61-2,biofuel,84.162,84.09390038,2.3626,0,0,1,0,29.722
2-Methyl-3-ethylpentane,CCC(CC)C(C)C,609-26-7,biofuel,114.232,114.1408506,3.0786,0,0,3,0,38.91
2-Methyl-3-Heptene,CCCC=CC(C)C,692-96-6,biofuel,112.216,112.1252005,2.9987,0,0,3,0,38.886
2-Methyl-3-Hexene,CCC=CC(C)C,692-24-0,biofuel,98.189,98.10955045,2.6086,0,0,2,0,34.269
2-Methylnonane,CCCCCCC(C)CC,871-83-0,biofuel,142.286,142.1721507,4.0029,0,0,6,0,48.214
3-Methylnonane,CCCCCCC(C)CCC,06/04/5911,biofuel,156.313,156.1878008,4.393,0,0,7,0,52.831
4-Methylnonane,CCCCC(C)CCCC,17301-94-9,biofuel,142.286,142.1721507,4.0029,0,0,6,0,48.214
5-Methylnonane,CCCCC(C)CCCC,15869-85-9,biofuel,142.286,142.1721507,4.0029,0,0,6,0,48.214
"2,2,3,3-tetramethylpentane",CCC(C)(C)C(C)(C)C,7154-79-2,biofuel,128.259,128.1565006,3.4687,0,0,1,0,43.527
"2,2-dimethyl-3-ethylpentane",CCC(CC)C(C)(C)C,16747-32-3,biofuel,128.259,128.1565006,3.4687,0,0,2,0,43.527
"2,2-dimethylbutane",CCC(C)(C)C,75-83-2,biofuel,86.178,86.10955045,2.4425,0,0,0,0,29.746
"2,4-Dimethyl-3-ethylpentane",CCC(C(C)C)C(C)C,1068-87-7,biofuel,128.259,128.1565006,3.3246,0,0,3,0,43.457
"2,3-dimethylbutane",CC(C)C(C)C,79-29-8,biofuel,86.178,86.10955045,2.2984,0,0,1,0,29.676
"2,2,3-trimethylbutane",CC(C)C(C)(C)C,464-06-2,biofuel,100.205,100.1252005,2.6885,0,0,0,0,34.293
"2,2-Dimethylpropane",CC(C)(C)C,463-82-1,biofuel,72.151,72.09390038,2.0524,0,0,0,0,25.129
2-methylpentane,CCCC(C)C,107-83-5,biofuel,86.178,86.10955045,2.4425,0,0,2,0,29.746
3-methylpentane,CCC(C)CC,96-14-0,biofuel,86.178,86.10955045,2.4425,0,0,2,0,29.746
3-Hexene,CCC=CCC,592-47-2,biofuel,84.162,84.09390038,2.3626,0,0,2,0,29.722
3-methyl-1-pentene,CCC(C)C=C,760-20-3,biofuel,84.162,84.09390038,2.2185,0,0,2,0,29.652
2-ethyl-1-butene,CCC(=C)CC,760-21-4,biofuel,84.162,84.09390038,2.3626,0,0,2,0,29.722
"2,3-dimethyl-1-butene",CC(C)C(=C)C,563-78-0,biofuel,84.162,84.09390038,2.2185,0,0,1,0,29.652
"3,3-dimethyl-1-butene",CC(C)(C)C=C,558-37-2,biofuel,84.162,84.09390038,2.2185,0,0,0,0,29.652
"2,3-dimethyl-2-butene",CC(=C(C)C)C,563-79-1,biofuel,84.162,84.09390038,2.3626,0,0,0,0,29.722
4-methyl-1-hexene,CCC(C)CC=C,3769-23-1,biofuel,98.189,98.10955045,2.6086,0,0,3,0,34.269
"2,3,3-trimethyl-1-butene",CC(=C)C(C)(C)C,594-56-9,biofuel,98.189,98.10955045,2.6086,0,0,0,0,34.269
2-Methyl-1-hexene,CCCCC(=C)C,06/02/6094,biofuel,98.189,98.10955045,2.7527,0,0,3,0,34.339
2-Methyl-2-hexene,CCCC=C(C)C,2738-19-4,biofuel,98.189,98.10955045,2.7527,0,0,2,0,34.339
2-Methyl-3-hexene,CCC=CC(C)C,692-24-0,biofuel,98.189,98.10955045,2.6086,0,0,2,0,34.269
"2,3-Dimethyl-1-pentene",CCC(C)C(=C)C,3404-72-6,biofuel,98.189,98.10955045,2.6086,0,0,2,0,34.269
2-Methyl-2-propanol,CC(C)(C)O,75-65-0,biofuel,74.123,74.07316494,0.7772,1,1,0,20.23,21.9718
3-methyl-1-butanol,CC(C)CCO,123-51-3,biofuel,88.15,88.088815,1.0248,1,1,2,20.23,26.5408
methyl tert-butyl ether,CC(C)(C)OC,1634-04-4,biofuel,88.15,88.088815,1.4313,0,1,0,9.23,26.762
Tert-Amyl methyl ether,CCC(C)(C)OC,994-05-8,biofuel,102.177,102.1044651,1.8214,0,1,2,9.23,31.379
tert-butyl ethyl ether,CCOC(C)(C)C,637-92-3,biofuel,102.177,102.1044651,1.8214,0,1,1,9.23,31.379
benzene,C1=CC=CC=C1,71-43-2,biofuel,78.114,78.04695019,1.6866,0,0,0,0,26.442
toluene,CC1=CC=CC=C1,108-88-3,biofuel,92.141,92.06260026,1.99502,0,0,0,0,31.179
styrene,C=CC1=CC=CC=C1,100-42-5,biofuel,104.152,104.0626003,2.3296,0,0,1,0,36.533
4-Methyl-1-Hexene,CCC(C)CC=C,3769-23-1,biofuel,98.189,98.10955045,2.6086,0,0,3,0,34.269
4-Methyl-1-Pentene,CC(C)CC=C,691-37-2,biofuel,84.162,84.09390038,2.2185,0,0,2,0,29.652
4-Methyl-2-Pentene,CC=CC(C)C,4461-48-7,biofuel,84.162,84.09390038,2.2185,0,0,1,0,29.652
4-Methylheptane,CCCC(C)CCC,589-53-7,biofuel,114.232,114.1408506,3.2227,0,0,4,0,38.98
4-Octene,CCCC=CCCC,592-99-4,biofuel,112.216,112.1252005,3.1428,0,0,4,0,38.956
"1,2-dimethylbenzene (o-xylene)",CC1=CC=CC=C1C,95-47-6,biofuel,106.168,106.0782503,2.30344,0,0,0,0,35.916
"1,3-dimethylbenzene (m-Xylene)",CC1=CC(=CC=C1)C,108-38-3,biofuel,106.168,106.0782503,2.30344,0,0,0,0,35.916
"1,4-dimethylbenzene (p-Xylene)",CC1=CC=C(C=C1)C,106-42-3,biofuel,106.168,106.0782503,2.30344,0,0,0,0,35.916
ethylbenzene,CCC1=CC=CC=C1,100-41-4,biofuel,106.168,106.0782503,2.249,0,0,1,0,35.82
Indane,C1CC2=CC=CC=C2C1,496-11-7,biofuel,118.179,118.0782503,2.1753,0,0,0,0,38.467
Propenylbenzene,CC=CC1=CC=CC=C1,637-50-3,biofuel,118.179,118.0782503,2.7197,0,0,1,0,41.15
n-propylbenzene,CCCC1=CC=CC=C1,103-65-1,biofuel,120.195,120.0939004,2.6391,0,0,2,0,40.437
"1,2,3-trimethylbenzene",CC1=C(C(=CC=C1)C)C,526-73-8,biofuel,120.195,120.0939004,2.61186,0,0,0,0,40.653
"1,2,4-trimethylbenzene",CC1=CC(=C(C=C1)C)C,95-63-6,biofuel,120.195,120.0939004,2.61186,0,0,0,0,40.653
"1,3,5-trimethylbenzene",CC1=CC(=CC(=C1)C)C,108-67-8,biofuel,120.195,120.0939004,2.61186,0,0,0,0,40.653
"2,4-Dimethyl-2-pentene",CC(C)C=C(C)C,625-65-0,biofuel,98.189,98.10955045,2.6086,0,0,1,0,34.269
"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,540-84-1,biofuel,114.232,114.1408506,3.0786,0,0,1,0,38.91
3-Methyl-2-butanone,CC(C)C(=O)C,563-80-4,biofuel,86.134,86.07316494,1.2314,0,1,1,17.07,25.519
"2,3,3-Trimethyl-1-Pentene",CCC(C)(C)C(=C)C,560-23-6,biofuel,112.216,112.1252005,2.9987,0,0,2,0,38.886
"2,3,3-Trimethylpentane",CCC(C)(C)C(C)C,560-21-4,biofuel,114.232,114.1408506,3.0786,0,0,2,0,38.91
"2,3,4-Trimethyl-2-Pentene",CC(C)C(=C(C)C)C,565-77-5,biofuel,112.216,112.1252005,2.9987,0,0,1,0,38.886
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,565-75-3,biofuel,114.232,114.1408506,2.9345,0,0,2,0,38.84
"2,4-Dimethyl-1-Pentene",CC(C)CC(=C)C,2213-32-3,biofuel,98.189,98.10955045,2.6086,0,0,2,0,34.269
"2,4-Dimethyl-2-Pentene",CC(C)C=C(C)C,625-65-0,biofuel,98.189,98.10955045,2.6086,0,0,1,0,34.269
